!!SBtab SBtabVersion=’1.0’	TableName=’K. brasiliensis SBTab Compound Table’	TableType=’Compound’
!ID	!Name	!Identifiers:kegg.compound	!Identifiers:bigg.metabolite	!Identifiers:biocyc	!StructureFormula
sbtabcomp969	Phosphoprotein	C00562	lkAMbGxP		
sbtabcomp970	Ubiquitin C-terminal thiolester	C04090	soflBSFC		
sbtabcomp971	Protein N6-methyl-L-lysine	C05544	N6metLlys		C8H15N3O2R2
sbtabcomp972	GA2	C06135	ga2_cho		C39H69N2O18R
sbtabcomp973	4a-Hydroxytetrahydrobiopterin	C15522	9MjTwb6t		C9H15N5O4
sbtabcomp974	Pectin	C00714	pect		(C26H36O24)n
sbtabcomp975	Histone-arginine	C05206	histarg		C7H13N5O2R2
sbtabcomp976	Uracil in tRNA	C00868	BI65umzK		C9H13N2O9P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp977	Ribose 5-phosphate	C00117	r5p		C5H11O8P
sbtabcomp978	Phosphatidylinositol-4,5-bisphosphate	C04637	XWaFPlpp		C11H19O19P3R2
sbtabcomp979	2-Polyprenyl-6-methoxy-1,4-benzoquinone	C17560	WxtQnMdp		C12H14O3(C5H8)n
sbtabcomp980	N1-Methylguanine in tRNA	C04157	aHm5TLDa		C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp981	Glutathione	C00051	gth		C10H17N3O6S
sbtabcomp982	Phospholipid	C00865	pplp		C5H6O8PR3
sbtabcomp983	L-Histidinal	C01929	histdal		C6H9N3O
sbtabcomp984	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene	C14805	ANjRTRHY		C20H24N4O9S
sbtabcomp985	5,7,24(28)-Ergostatrienol	C15778	eKsMhCZx		C28H44O
sbtabcomp986	2-trans-undecenoyl-CoA		HSVAOGgZ	CPD__45__15656	C32H50N7O17P3S
sbtabcomp987	(3R)-hydroxy-undecanoyl-CoA		6cZtzvlb	CPD__45__15657	C32H52N7O18P3S
sbtabcomp988	2-trans, 4-trans-undecadienoyl-CoA		LqbpRPmo	CPD__45__15661	C32H48N7O17P3S
sbtabcomp989	3-trans-undecenoyl-CoA		k4mfZlUb	CPD__45__15655	C32H50N7O17P3S
sbtabcomp990	(3R)-hydroxy, 6-trans-tridecenoyl-CoA		timOoJKd	CPD__45__15652	C34H54N7O18P3S
sbtabcomp991	6-trans-3-oxo-tridecenoyl-CoA		NOaJ2IQ4	CPD__45__15676	C34H52N7O18P3S
sbtabcomp992	2-trans-6-trans-tridecadienoyl-CoA		IQdUKNjg	CPD__45__15675	C34H52N7O17P3S
sbtabcomp993	2-trans, 4-cis-undecadienoyl-CoA		SAGNek3H	CPD__45__15654	C32H48N7O17P3S
sbtabcomp994	(3R)-hydroxy, 6-cis-tridecenoyl-CoA		Ftc22pjW	CPD__45__15653	C34H54N7O18P3S
sbtabcomp995	6-cis, 3-oxo-tridecenoyl-CoA		ThAKB3um	CPD__45__15667	C34H52N7O18P3S
sbtabcomp996	6-cis, 2-trans-tridecadienoyl-CoA		CmE5k3Eg	CPD__45__15666	C34H52N7O17P3S
sbtabcomp997	OPC4-CoA		d8hWVOoh	CPD__45__11525	C35H52N7O18P3S
sbtabcomp998	OPC4-trans-2-enoyl-CoA		lXV8qwMQ	CPD__45__11526	C35H50N7O18P3S
sbtabcomp999	(3R)-hydroxy-5-trans-dodecenoyl-CoA		ri2o5KNr	CPD__45__15690	C33H52N7O18P3S
sbtabcomp1000	5-trans-3-oxo-dodecenoyl-CoA		247rW232	CPD__45__15691	C33H50N7O18P3S
sbtabcomp1001	2-trans, 5-trans-dodecadienoyl-CoA		3ochthkk	CPD__45__15689	C33H50N7O17P3S
sbtabcomp1002	4-trans-undecenoyl-CoA		3rlh9n3X	CPD__45__15677	C32H50N7O17P3S
sbtabcomp1003	(3R)-hydroxy- 5-cis, 7-trans-tetradecadienoyl-CoA		MJkoYYPC	CPD__45__15686	C35H54N7O18P3S
sbtabcomp1004	5-cis, 7-trans-3-oxo-tetradecadienoyl-CoA		BGZHfkeS	CPD__45__15687	C35H52N7O18P3S
sbtabcomp1005	2-trans, 5-cis, 7-trans-tetradecatrienoyl-CoA		wpOLRKUW	CPD__45__15685	C35H52N7O17P3S
sbtabcomp1006	5-cis, 7-trans-tetradecadienoyl-CoA		1YY75JVS	CPD__45__15684	C35H54N7O17P3S
sbtabcomp1007	6-cis-tridecenoyl-CoA		CFQmMY1H	CPD__45__15637	C34H54N7O17P3S
sbtabcomp1008	3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-octanoyl-CoA		rAfPP4uR	CPD__45__11517	C39H60N7O18P3S
sbtabcomp1009	3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-octa-2-enoyl-CoA		SbbuxAp3	CPD__45__11518	C39H58N7O18P3S
sbtabcomp1010	OPC6-CoA	C16331	KwrjicxM		C37H60N7O18P3S
sbtabcomp1011	OPC6-trans-2-enoyl-CoA		2FH4rnKt	CPD__45__11522	C37H54N7O18P3S
sbtabcomp1012	4-cis-undecenoyl-CoA		4Jsq5e6S	CPD__45__15668	C32H50N7O17P3S
sbtabcomp1013	(5Z)-tetradecenoyl-CoA		gOOpH9A9	CPD__45__15436	C35H56N7O17P3S
sbtabcomp1014	(2E,5Z)-tetradecenoyl-CoA		KnJCer5L	CPD0__45__1162	C35H54N7O17P3S
sbtabcomp1015	Propionamide		1KRAUsQ9	PROPIONAMIDE	C3H7NO
sbtabcomp1016	6-trans-tridecenoyl-CoA		EQaW5JUY	CPD__45__15651	C34H54N7O17P3S
sbtabcomp1017	a cis-5-enoyl-CoA		UDNCljHf	cis__45__5__45__enoyl__45__CoA	
sbtabcomp1018	a trans2,cis-5-dienoyl-CoA		Fd9q4q2e	trans__45__2__45__cis__45__5__45__dienoyl__45__CoA	
sbtabcomp1019	a (3R)-3-hydroxy cis Δ7-tetradecenoyl-[acp]		p6aI85hK	_3__45__hydroxy__45__cis__45__D7__45__tetraecenoyl__45__ACPs	
sbtabcomp1020	a 3-oxo-cis-Δ7-tetradecenoyl-[acp]		Ss5pe6UB	_3__45__oxo__45__cis__45__D7__45__tetradecenoyl__45__ACPs	
sbtabcomp1021	blank_description		KcbHLa29	POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C16__45__H32	C41H68N7O17P3S
sbtabcomp1022	blank_description		1Jmqjr2u	POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C12__45__H24	C37H60N7O17P3S
sbtabcomp1023	blank_description		tQsj8JQ9	POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C10__45__WATER	C35H56N7O17P3S
sbtabcomp1024	a cis,cis-delta9,27-3-hydroxyC46:2-[acp]		YdTpl4BB	cis__45__cis__45__D9__45__27__45__3__45__hydroxyC46__45__2__45__ACPs	
sbtabcomp1025	a cis,cis-delta9,27-3-oxo-C46:2-[acp]		RM7r9uJh	cis__45__cis__45__D9__45__27__45__3__45__oxo__45__C46__45__2__45__ACPs	
sbtabcomp1026	a cis,cis-delta15,27-3-hydroxyC46:2-[acp]		5ZfOXWjE	cis__45__cis__45__D15__45__27__45__3__45__hydroxyC46__45__2__45__ACPs	
sbtabcomp1027	a cis,cis-delta15,27-3-oxo-C46:2-[acp]		JygOS3ll	cis__45__cis__45__D15__45__27__45__3__45__oxo__45__C46__45__2__45__ACPs	
sbtabcomp1028	a cis,cis-delta19,37-3-hydroxy-C56:2-[acp]		VExinBIx	cis__45__cis__45__D19__45__37__45__3__45__hydroxyC56__45__2__45__ACPs	
sbtabcomp1029	a cis,cis-delta19,37-3-oxo-C56:2-[acp]		GuQFd4vP	cis__45__cis__45__D19__45__37__45__3__45__oxo__45__C56__45__2__45__ACPs	
sbtabcomp1030	blank_description		9VfbplKT	OH__45__ACYL__45__ACP	
sbtabcomp1031	blank_description		A5aGNbEH	B__45__KETOACYL__45__ACP	
sbtabcomp1032	α-D-Man-(1→2)-α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→2)-α-D-Man-(1→6)]-α-D-Man-(1→6)]-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol		lA9FNft8	CPD__45__5168	C150H248N2O62P2
sbtabcomp1033	α-D-Glc-(1→3)-α-D-Man-(1→2)-α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→2)-α-D-Man-(1→6)]-α-D-Man-(1→6)]-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol		CqlAZhtt	CPD__45__5169	C156H258N2O67P2
sbtabcomp1034	α-D-Man-a-(1→2)-α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→6)]-α-D-Man-(1→6)]-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol		n7qjQlSI	CPD__45__5167	C144H238N2O57P2
sbtabcomp1035	a cis,cis-delta17,29-3-hydroxyC48:2-[acp]		XaI8BSIr	cis__45__cis__45__D17__45__29__45__3__45__hydroxyC48__45__2__45__ACPs	
sbtabcomp1036	a cis,cis-delta17,29-3-oxo-C48:2-[acp]		2SdbvUHs	cis__45__cis__45__D17__45__29__45__3__45__oxo__45__C48__45__2__45__ACPs	
sbtabcomp1037	α-D-Man-(1→2)-α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→2)-α-D-Man-(1→3)-α-D-Man-(1→6)]-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol		VF9OAMTM	CPD__45__5166	C138H228N2O52P2
sbtabcomp1038	α-D-Man-(1→2)-α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→3)-α-D-Man-(1→6)]-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol		treiL8dH	CPD__45__5165	C132H218N2O47P2
sbtabcomp1039	α-D-Man-(1→2)-α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→6)]-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol		pye1YyYY	CPD__45__5164	C126H208N2O42P2
sbtabcomp1040	α-D-Man-(1→3)-[α-D-Man-(1→6)]-α-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol		sZi9RPXF	CPD__45__5162	C114H188N2O32P2
sbtabcomp1041	blank_description		bk8FETew	b__45__Hydroxy__45__cis__45__D5__45__dodecenoyl__45__ACPs	
sbtabcomp1042	blank_description		77UD9ok2	b__45__Keto__45__cis__45__D5__45__dodecenoyl__45__ACPs	
sbtabcomp1043	a cis,cis-delta13,25-3-hydroxyC44:2-[acp]		mVgv35EX	cis__45__cis__45__D13__45__25__45__3__45__hydroxyC44__45__2__45__ACPs	
sbtabcomp1044	a cis,cis-delta13,25-3-oxo-C44:2-[acp]		lOKZv2Xr	cis__45__cis__45__D13__45__25__45__3__45__oxo__45__C44__45__2__45__ACPs	
sbtabcomp1045	a cis,cis-delta7,19-3-hydroxyC38:2-[acp]		YgZiYjUM	cis__45__cis__45__D7__45__19__45__3__45__hydroxyC38__45__2__45__ACPs	
sbtabcomp1046	a cis,cis-delta7,19-3-oxo-C38:2-[acp]		4ot6Ga2C	cis__45__cis__45__D7__45__19__45__3__45__oxo__45__C38__45__2__45__ACPs	
sbtabcomp1047	a cis,cis-delta19,31-3-hydroxyC50:2-[acp]		rWmR5Jr3	cis__45__cis__45__D19__45__31__45__3__45__hydroxyC50__45__2__45__ACPs	
sbtabcomp1048	a cis,cis-delta19,31-3-oxo-C50:2-[acp]		xgyx9ZWd	cis__45__cis__45__D19__45__31__45__3__45__oxo__45__C50__45__2__45__ACPs	
sbtabcomp1049	a cis,cis-delta11,29-3-hydroxy C48:2-[acp]		tvzXD8p3	cis__45__cis__45__D11__45__29__45__3__45__hydroxyC48__45__2__45__ACPs	
sbtabcomp1050	a cis,cis-delta11,29-3-oxo-C48:2-[acp]		esqAc5rT	cis__45__cis__45__D11__45__29__45__3__45__oxo__45__C48__45__2__45__ACPs	
sbtabcomp1051	24-hydroxy-3-oxocholest-4-en-26-oyl-CoA		MolWxue1	CPD__45__13694	C48H72N7O19P3S
sbtabcomp1052	3,24-dioxocholest-4-en-26-oyl-CoA		qcFJtVr4	CPD__45__13695	C48H70N7O19P3S
sbtabcomp1053	a cis,cis-delta21,39-3-hydroxyC58:2-[acp]		dqtv17nP	cis__45__cis__45__D21__45__39__45__3__45__hydroxyC58__45__2__45__ACPs	
sbtabcomp1054	a cis,cis-delta21,39-3-oxo-C58:2-[acp]		zsrXMEIe	cis__45__cis__45__D21__45__39__45__3__45__oxo__45__C58__45__2__45__ACPs	
sbtabcomp1055	a cis,cis-delta5,23-3-hydroxyC42:2-[acp]		hN9AiKs4	cis__45__cis__45__D5__45__23__45__3__45__hydroxyC42__45__2__45__ACPs	
sbtabcomp1056	a cis,cis-delta5,23-3-oxo-C42:2-[acp]		CiwrhsoD	cis__45__cis__45__D5__45__23__45__3__45__oxo__45__C42__45__2__45__ACPs	
sbtabcomp1057	a cis,cis-delta15,33-3-hydroxy C52:2-[acp]		eoiD5Uki	cis__45__cis__45__D15__45__33__45__3__45__hydroxyC52__45__2__45__ACPs	
sbtabcomp1058	a cis,cis-delta15,33-3-oxo-C52:2-[acp]		UV8CxbNW	cis__45__cis__45__D15__45__33__45__3__45__oxo__45__C52__45__2__45__ACPs	
sbtabcomp1059	OPC8-3-hydroxyacyl-CoA		ipMDhctL	CPD__45__11519	C39H60N7O19P3S
sbtabcomp1060	OPC8-3-ketoacyl-CoA		dsux5jEZ	CPD__45__11520	C39H58N7O19P3S
sbtabcomp1061	(2Z)-2-aminobut-2-enoate		Avo7Pa62	CPD__45__15056	C4H6NO2
sbtabcomp1062	a cis,cis-delta7,25-3-hydroxyC44:2-[acp]		b8N8Ny6s	cis__45__cis__45__D7__45__25__45__3__45__hydroxyC44__45__2__45__ACPs	
sbtabcomp1063	a cis,cis-delta7,25-3-oxo-C44:2-[acp]		xU9B2JLh	cis__45__cis__45__D7__45__25__45__3__45__oxo__45__C44__45__2__45__ACPs	
sbtabcomp1064	OPC6-3-hydroxyacyl-CoA		Lohl1y8R	CPD__45__11523	C37H56N7O19P3S
sbtabcomp1065	OPC6-3-ketoacyl-CoA		jKyybvLm	CPD__45__11524	C37H54N7O19P3S
sbtabcomp1066	a (3R)-3-hydroxyglutaryl-[acp] methyl ester		kM2lSjGL	_3__45__Hydroxyglutaryl__45__ACP__45__methyl__45__ester	
sbtabcomp1067	a 3-oxo-glutaryl-[acp] methyl ester		v9n6zFso	_3__45__Ketoglutaryl__45__ACP__45__methyl__45__ester	
sbtabcomp1068	an L-methionyl-[initiator tRNAmet]		kcaKCRbG	L__45__methionyl__45__tRNAfmet	
sbtabcomp1069	an N-formyl-L-methionyl-[initiator tRNAmet]		JfyceHER	N__45__formyl__45__L__45__methionyl__45__tRNAfmet	
sbtabcomp1070	3S-(4-hydroxyphenyl)-3-hydroxy-propanoyl-CoA		mhqwaYlM	CPD__45__12199	C30H40N7O19P3S
sbtabcomp1071	4-hydroxybenzoyl-acetyl-CoA		UGjL3n5U	CPD__45__10600	C30H38N7O19P3S
sbtabcomp1072	a (3R)-3-hydroxypetroselinoyl-[acp]		RhadRNFO	R__45__3__45__hydroxypetroselinoyl__45__ACPs	
sbtabcomp1073	blank_description		gBj8mFxk	_3__45__oxo__45__eetroselinoyl__45__ACPs	
sbtabcomp1074	3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-inden-4-yl]-3-hydroxypropanoyl-CoA		hvo4a27t	CPD__45__13757	C34H50N7O20P3S
sbtabcomp1075	3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-inden-4-yl]-3-oxopropanoyl-CoA		A2lht7rx	CPD__45__13758	C34H48N7O20P3S
sbtabcomp1076	a cis,cis-delta11,23-3-hydroxyC42:2-[acp]		Iqw6oB2u	cis__45__cis__45__D11__45__23__45__3__45__hydroxyC42__45__2__45__ACPs	
sbtabcomp1077	a cis,cis-delta11,23-3-oxo-C42:2-[acp]		5qVFPBa4	cis__45__cis__45__D11__45__23__45__3__45__oxo__45__C42__45__2__45__ACPs	
sbtabcomp1078	blank_description		wqpydR5T	_3__45__hydroxypimeloyl__45__ACP__45__methyl__45__esters	
sbtabcomp1079	blank_description		Yun8DiCT	_3__45__Ketopimeloyl__45__ACP__45__methyl__45__esters	
sbtabcomp1080	a cis,cis-delta17,35-3-hydroxyC54:2-[acp]		afRtxVmu	cis__45__cis__45__D17__45__35__45__3__45__hydroxyC54__45__2__45__ACPs	
sbtabcomp1081	a cis,cis-delta17,35-3-oxo-C54:2-[acp]		DLYn7kUJ	cis__45__cis__45__D17__45__35__45__3__45__oxo__45__C54__45__2__45__ACPs	
sbtabcomp1082	blank_description		sjLxcRfm	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C8__45__H16	C33H54N7O18P3S
sbtabcomp1083	blank_description		euGsL6Fe	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C10__45__WATER	C35H58N7O18P3S
sbtabcomp1084	blank_description		RBAfAaxf	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C14__45__H28	C39H66N7O18P3S
sbtabcomp1085	blank_description		Opxdsas4	POLYMER__45__INST__45__3__45__KETOACYL__45__COA__45__C14__45__H28	C39H64N7O18P3S
sbtabcomp1086	blank_description		r1pMW7NY	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C16__45__H32	C41H70N7O18P3S
sbtabcomp1087	3-oxoicosanoyl-CoA		MHqUdihN	CPD__45__14271	C41H68N7O18P3S
sbtabcomp1088	a cis,cis-delta5,17-3-hydroxyC36:2[acp]		ClFIX57J	cis__45__cis__45__D5__45__17__45__3__45__hydroxyC36__45__2__45__ACPs	
sbtabcomp1089	a cis,cis-delta5,17-3-oxo-C36:2-[acp]		5m1Y6lf9	cis__45__cis__45__D5__45__17__45__3__45__oxo__45__C36__45__2__45__ACPs	
sbtabcomp1090	OPC4-3-hydroxyacyl-CoA		ZhUPAgTI	CPD__45__11527	C35H52N7O19P3S
sbtabcomp1091	OPC4-3-ketoacyl-CoA		mB4qvzlL	CPD__45__11528	C35H50N7O19P3S
sbtabcomp1092	a cis,cis-delta9,21-3-hydroxyC40:2-[acp]		CE1r4tga	cis__45__cis__45__D9__45__21__45__3__45__hydroxyC40__45__2__45__ACPs	
sbtabcomp1093	a cis,cis-delta9,21-3-oxo-C40:2-[acp]		YSTu1S4N	cis__45__cis__45__D9__45__21__45__3__45__oxo__45__C40__45__2__45__ACPs	
sbtabcomp1094	a cis,cis-delta13,31-3-hydroxy C50:2-[acp]		nCMkwhsz	cis__45__cis__45__D13__45__31__45__3__45__hydroxyC50__45__2__45__ACPs	
sbtabcomp1095	a cis,cis-delta13,31-3-oxo-C50:2-[acp]		pb1DUgA7	cis__45__cis__45__D13__45__31__45__3__45__oxo__45__C50__45__2__45__ACPs	
sbtabcomp1096	blank_description		NJ1ngjSv	Sulfurated__45__Sulfur__45__Acceptors	
sbtabcomp1097	blank_description		4TZ5yAhw	Unsulfurated__45__Sulfur__45__Acceptors	
sbtabcomp1098	3-oxo-icosatrienoyl-CoA		aety6wuo	CPD__45__14422	C41H62N7O18P3S
sbtabcomp1099	3R-hydroxy-icosatrienoyl-CoA		VHAU6Gsq	CPD__45__14419	C41H64N7O18P3S
sbtabcomp1100	3-oxo-docosapentaenoyl-CoA		OBT8CaGc	CPD__45__14423	C43H62N7O18P3S
sbtabcomp1101	(5Z,8Z,11Z,14Z,17Z)-3R-hydroxy-docosapentaenoyl-CoA		x92ctHVp	CPD__45__14424	C43H64N7O18P3S
sbtabcomp1102	2-trans-nonenoyl-CoA		oi73nhTl	CPD__45__15663	C30H46N7O17P3S
sbtabcomp1103	(3R)-hydroxy-nonanoyl-CoA		YqAGkdpY	CPD__45__15658	C30H48N7O18P3S
sbtabcomp1104	(3R)-hydroxy, 4-trans-undecenoyl-CoA		WXntKpQK	CPD__45__15662	C32H50N7O18P3S
sbtabcomp1105	4-trans-3-oxo-undecenoyl-CoA		OeVKnG2n	CPD__45__15678	C32H48N7O18P3S
sbtabcomp1106	an [apo BCAA dehydrogenase E2 protein] N6-lipoyl-L-lysine		82oeomSK	BCAA__45__dehydrogenase__45__lipoyl	
sbtabcomp1107	an [apo BCAA dehydrogenase E2 protein] N6-S-[2-methylpropanoyl]dihydrolipoyl-L-lysine		rzg4LwP4	BCAA__45__dehydrogenase__45__2MP__45__DH__45__lipoyl	
sbtabcomp1108	an [apo BCAA dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine		2bJsXQUh	BCAA__45__dehydrogenase__45__DH__45__lipoyl	
sbtabcomp1109	1-18:1-2-lysophosphatidylethanolamine		1IEsM2Wa	CPD__45__8355	C23H46NO7P
sbtabcomp1110	1-18:1-2-18:1-phosphatidylethanolamine		MxfN2zM5	CPD__45__8291	C41H78NO8P
sbtabcomp1111	4-hydroxy-2-nonenal		41Pa5ipR	CPD__45__10806	C9H16O2
sbtabcomp1112	4-hydroxy-2-nonenal-glutathione conjugate		3h2nalgthcj	CPD__45__14704	C19H32N3O8S
sbtabcomp1113	3-hydroxyisovaleryl-CoA		Ld79xZcP	_3__45__HYDROXY__45__ISOVALERYL__45__COA	C26H40N7O18P3S
sbtabcomp1114	blank_description		CH9ed1Ub	CPD0__45__2365	C27H37N7O19P3S
sbtabcomp1115	blank_description		72HuYH8G	Glycoprotein__45__Asn__45__oligosaccharides	
sbtabcomp1116	3-hydroxy-decanoyl-CoA		y2sxpuQ9	CPD__45__15694	C31H50N7O18P3S
sbtabcomp1117	blank_description		jXAAAdG9	POLYMER__45__INST__45__D__45__3__45__HYDROXYACYL__45__COA__45__C2__45__H4	C27H42N7O18P3S
sbtabcomp1118	blank_description		Hp5mpR2n	POLYMER__45__INST__45__D__45__3__45__HYDROXYACYL__45__COA__45__C4__45__H8	C29H46N7O18P3S
sbtabcomp1119	(3R)-hydroxydecanoyl-CoA		7f79bEJN	CPD__45__12777	C31H50N7O18P3S
sbtabcomp1120	blank_description		Jtj49ajf	POLYMER__45__INST__45__D__45__3__45__HYDROXYACYL__45__COA__45__C8__45__H16	C33H54N7O18P3S
sbtabcomp1121	blank_description		rrVmyNa5	POLYMER__45__INST__45__D__45__3__45__HYDROXYACYL__45__COA__45__C10__45__WATER	C35H58N7O18P3S
sbtabcomp1122	blank_description		LlSW7Ja1	POLYMER__45__INST__45__D__45__3__45__HYDROXYACYL__45__COA__45__C12__45__H24	C37H62N7O18P3S
sbtabcomp1123	(3R)-3-hydroxy-arachidoyl-CoA		XkT55TIb	CPD__45__14275	C41H70N7O18P3S
sbtabcomp1124	3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA	C05447	7kVqHFSs		C48H78N7O19P3S
sbtabcomp1125	3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA	C05448	csiWAS5K		C48H80N7O20P3S
sbtabcomp1126	1-oleyl-2-lyso-phosphatidate		xD82aVWY	L__45__1__45__LYSOPHOSPHATIDATE	C21H39O7P
sbtabcomp1127	an aliphatic amine		7GCfrHyU	Aliphatic__45__Amines	
sbtabcomp1128	(R)-3-hydroxy-cis-vacc-11-enoyl-[acp]		R21huvJo	R__45__3__45__hydroxy__45__cis__45__vaccenoyl__45__ACPs	
sbtabcomp1129	a 3-oxo-cis-vacc-11-enoyl-[acp]		x7QsCRys	_3__45__oxo__45__cis__45__vaccenoyl__45__ACPs	
sbtabcomp1130	D-xylopyranose		X2h9Df6L	D__45__Xylopyranose	C5H10O5
sbtabcomp1131	a (3R)-3-hydroxy cis Δ9-hexadecenoyl-[acp]		HpVmh3YC	_3__45__hydroxy__45__cis__45__D9__45__hexaecenoyl__45__ACPs	
sbtabcomp1132	a 3-oxo-cis-Δ9-hexadecenoyl-[acp]		1KKwtxkG	_3__45__oxo__45__cis__45__D9__45__hexadecenoyl__45__ACPs	
sbtabcomp1133	a cis-delta21-3-hydroxyC40:1-[acp]		CvB4rnrV	cis__45__delta21__45__3__45__hydroxyC40__45__ACPs	
sbtabcomp1134	a cis-delta21-3-oxo-C40:1-[acp]		aNtq1FH4	cis__45__delta21__45__3__45__oxo__45__C40__45__ACPs	
sbtabcomp1135	a cis-delta19-3-hydroxyC38:1-[acp]		3UZh24Y9	cis__45__delta19__45__3__45__hydroxyC38__45__ACPs	
sbtabcomp1136	a cis-delta19-3-oxo-C38:1-[acp]		ljAAWLWk	cis__45__delta19__45__3__45__oxo__45__C38__45__ACPs	
sbtabcomp1137	a cis-delta17-3-hydroxyC36:1-[acp]		wYHVrc25	cis__45__delta17__45__3__45__hydroxyC36__45__ACPs	
sbtabcomp1138	a cis-delta17-3-oxo-C36:1-[acp]		ahXaA9uz	cis__45__delta17__45__3__45__oxo__45__C36__45__ACPs	
sbtabcomp1139	a cis-delta15-3-hydroxyC34:1-[acp]		z9CsHA6J	cis__45__delta15__45__3__45__hydroxygheddoyl__45__ACPs	
sbtabcomp1140	a cis-delta15-3-oxo-C34:1-[acp]		bwzjtx4L	cis__45__delta15__45__3__45__oxo__45__gheddoyl__45__ACPs	
sbtabcomp1141	a cis-delta13-3-hydroxyC32:1-[acp]		mC1vOG31	cis__45__delta13__45__3__45__hydroxylacceroyl__45__ACPs	
sbtabcomp1142	a cis-delta13-3-oxo-C32:1-[acp]		tEUDKioz	cis__45__delta13__45__3__45__oxo__45__lacceroyl__45__ACPs	
sbtabcomp1143	D-mannopyranose		rMIP2ZXf	D__45__mannopyranose	C6H12O6
sbtabcomp1144	a cis-delta11-3-hydroxyC30:1-[acp]		2kYM4Lrk	cis__45__delta11__45__3__45__hydroxymelissoyl__45__ACPs	
sbtabcomp1145	a cis-delta11-3-oxo-C30:1-[acp]		UaoFfZ9w	cis__45__delta11__45__3__45__oxo__45__melissoyl__45__ACPs	
sbtabcomp1146	a cis-delta9-3-hydroxyC28:1-[acp]		1cD1sM7u	cis__45__delta9__45__3__45__hydroxymontanoyl__45__ACPs	
sbtabcomp1147	a cis-delta9-3-oxo-C28:1-[acp]		OrKTmi5V	cis__45__delta9__45__3__45__oxo__45__montanoyl__45__ACPs	
sbtabcomp1148	a cis-delta7-3-hydroxyC26:1-[acp]		oT3euFUO	cis__45__delta7__45__3__45__hydroxycerotoyl__45__ACPs	
sbtabcomp1149	a cis-delta7-3-oxo-C26:1-[acp]		vYtrLJle	cis__45__delta7__45__3__45__oxo__45__cerotoyl__45__ACPs	
sbtabcomp1150	a cis-delta5-3-hydroxyC24:1-[acp]		5EOARGbH	cis__45__delta5__45__3__45__hydroxylignoceroyl__45__ACPs	
sbtabcomp1151	a cis-delta5-3-oxo-C24:1-[acp]		dIgeWCxq	cis__45__delta5__45__3__45__oxo__45__lignoceroyl__45__ACPs	
sbtabcomp1152	a (3R)-3-hydroxybehenoyl-[acp]		rjkcvknf	R__45__3__45__hydroxybehenoyl__45__ACPs	
sbtabcomp1153	a 3-oxo-behenoyl-[acp]		j8jx5ysE	_3__45__oxo__45__behenoyl__45__ACPs	
sbtabcomp1154	an N-acyl-sphingosylphosphorylcholine		lY4GJxJQ	N__45__acyl__45__sphingosylphosphorylcholine	
sbtabcomp1155	a sphingosine ceramide		di1DthUf	N__45__Acylsphingosine	
